,age,balance,duration,campaign,previous,housing_le,loan_le,default_le,recent_pdays,deposit_le,entrepreneur,other,pink-collar,self-employed,technician,white-collar,married,single,secondary,tertiary,unknown,success,unknown_outcome
0,59,2343,1042,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,1,0,0,0,1
1,56,45,1467,1,0,0,0,0,0.0001,1,0,0,0,0,0,1,1,0,1,0,0,0,1
2,41,1270,1389,1,0,1,0,0,0.0001,1,0,0,0,0,1,0,1,0,1,0,0,0,1
3,55,2476,579,1,0,1,0,0,0.0001,1,0,0,1,0,0,0,1,0,1,0,0,0,1
4,54,184,673,2,0,0,0,0,0.0001,1,0,0,0,0,0,1,1,0,0,1,0,0,1
5,42,0,562,2,0,1,1,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
6,56,830,1201,1,0,1,1,0,0.0001,1,0,0,0,0,0,1,1,0,0,1,0,0,1
7,60,545,1030,1,0,1,0,0,0.0001,1,0,1,0,0,0,0,0,0,1,0,0,0,1
8,37,1,608,1,0,1,0,0,0.0001,1,0,0,0,0,1,0,1,0,1,0,0,0,1
9,28,5090,1297,3,0,1,0,0,0.0001,1,0,0,1,0,0,0,0,1,1,0,0,0,1
10,38,100,786,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,1,0,0,0,1
11,30,309,1574,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
12,29,199,1689,4,0,1,1,0,0.0001,1,0,0,0,0,0,1,1,0,0,1,0,0,1
13,46,460,1102,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,1,0,1,0,0,1
14,31,703,943,2,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,0,1,0,0,1
15,35,3837,1084,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,1
16,32,611,541,3,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,1,0,0,0,0,1
17,49,-8,1119,1,0,1,0,0,0.0001,1,0,0,1,0,0,0,1,0,1,0,0,0,1
